ServerName,FieldName,CurrentValue,ProposedValue
ah57ndcub04015,Supportgroup,,MMIS Support INF DBA
ah57ndcub04016,System,,T7 Database Host
ah57ndcub04016,Purpose,,"Oracle Database Zone - MMIS - T22HISM1, T22MARM1,  T22MISM1, T22SURM1"
ah57ndcub04016,Supportgroup,,MMIS Support INF DBA
ah57ndcub04017,System,,T7 Database Host
ah57ndcub04017,Purpose,,"Oracle Database Zone - MMIS - T23HISA1, T23MISA1"
ah57ndcub04017,Supportgroup,,MMIS Support INF DBA
ah57ndcub04018,System,,T7 Database
ah57ndcub04018,Purpose,,"Oracle Database Zone

8:31 AM 4/1/2025 Retired per Chad Williams - Anthony Bronsdon"
ah57ndcub04018,Supportgroup,,MMIS Support INF DBA
ah57ndcub04019,System,,T-7 Database Host
ah57ndcub04019,Purpose,,"Oracle Database - Siebel - Non-Prod - SBLSBX, SBLDEV17, SBLUAT17"
ah57ndcub04019,Supportgroup,,MMIS Support INF DBA
ah57ndcub04020,System,,T7 Database
